漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,,,
,1,サクラマス（ママス）,,0,4,"2,000","2,000","2,000",
,,カラフトマス,,,,,,,
,,マスノスケ,,,,,,,
,4,サバ類,,0,89,800,459,300,
,2,マイワシ,,0,14,"1,200","1,100","1,000",
,,カタクチイワシ,,,,,,,
,,マアジ,,,,,,,
,1,クロマグロ,,0,60,"2,599","2,480","2,399",
,,サンマ,,,,,,,
,,ブリ,,,,,,,
,4,スルメイカ,,0,"3,007",600,127,50,
,1,マンボウ類,,0,42,"1,700","1,223","1,000",
さけ・ます延縄,,オオメマス（シロザケ）,,,,,,,
,,カラフトマス,,,,,,,
突き棒,,マカジキ,,,,,,,
,,メカジキ,,,,,,,
かつお一本釣り,,カツオ,,,,,,,
こうなご棒受網,,イカナゴ（コウナゴ）,,,,,,,
いか釣,,スルメイカ,,,,,,,
底刺網,,ヒラメ,,,,,,,
,15,マコガレイ・マガレイ,,0,70,900,665,459,
,7,ババガレイ（ナメタガレイ）,,0,22,"1,100",982,100,
,,まつかわ,,,,,,,
,3,マダラ,,10,71,280,148,73,
,2,スケトウダラ,,2,12,100,26,25,
,22,アイナメ,,0,60,"1,250",774,100,
,2,アンコウ類,,0,32,469,419,269,
,1,クロソイ,,0,2,460,460,460,
,5,その他のソイ類,,0,16,"1,000",774,480,
小延縄,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,3,その他のカレイ類,,1,4,"1,690","1,016",409,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,3,エゾイソアイナメ（ドンコ）,,11,66,197,111,63,
,21,アイナメ,,0,117,"1,379","1,133",519,
,,クロソイ,,,,,,,
,2,その他のソイ類,,0,7,"1,309","1,182","1,100",
かご,,タコ類,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,その他のタラ類,,,,,,,
,,スルメイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,マダラ,,,,,,,
