2001年,釜石湾(10m)
7月1日,13.41
7月2日,13.74
7月3日,13.93
7月4日,14.05
7月5日,14.24
7月6日,14.54
7月7日,14.36
7月8日,14.68
7月9日,15.08
7月10日,15.05
7月11日,15.06
7月12日,15.01
7月13日,15.23
7月14日,15.55
7月15日,15.78
7月16日,16.07
7月17日,16.37
7月18日,16.82
7月19日,17.04
7月20日,17.16
7月21日,17.29
7月22日,17.26
7月23日,17.41
7月24日,17.20
7月25日,15.84
7月26日,16.26
7月27日,17.02
7月28日,17.84
7月29日,17.93
7月30日,17.83
7月31日,16.73
