2001年,釜石湾(10m)
8月1日,16.20
8月2日,16.46
8月3日,16.53
8月4日,17.00
8月5日,17.81
8月6日,17.54
8月7日,17.15
8月8日,17.28
8月9日,17.37
8月10日,17.10
8月11日,17.35
8月12日,17.00
8月13日,17.16
8月14日,17.55
8月15日,18.09
8月16日,18.26
8月17日,18.07
8月18日,18.63
8月19日,18.69
8月20日,17.94
8月21日,16.59
8月22日,16.74
8月23日,16.68
8月24日,16.21
8月25日,17.22
8月26日,18.45
8月27日,19.39
8月28日,20.12
8月29日,20.25
8月30日,20.09
8月31日,19.80
