漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,アキサケ（オス）,,,,,
,,アキサケ（メス）,,,,,
,,サバ類,,,,,
,,ブリ,,,,,
,,マイワシ,,,,,
,,カタクチイワシ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
,,サワラ,,,,,
,,クロマグロ,,,,,
,,マアジ,,,,,
,,マダイ,,,,,
,,その他のタイ類,,,,,
,,サクラマス（ママス）,,,,,
,,カラフトマス,,,,,
,,オオメマス（シロザケ）,,,,,
,,スケトウダラ,,,,,
磯建網,,アキサケ（オス）,,,,,
,,アキサケ（メス）,,,,,
,,サバ類,,,,,
,,ブリ,,,,,
,,マイワシ,,,,,
,,サクラマス（ママス）,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
たら延縄,1,ババガレイ（ナメタガレイ）,9,"1,200",829,500,
底延縄,,キチジ,,,,,
立て縄,1,マダラ,5,400,277,50,
,,スケトウダラ,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,
,,アイナメ,,,,,
,1,アナゴ類,4,"1,600","1,600","1,600",
,,ヒラメ,,,,,
底刺網,2,ヒラメ,18,"2,500","1,981","1,300",
,2,マコガレイ・マガレイ,20,500,430,400,
,,ババガレイ（ナメタガレイ）,,,,,
,1,その他のカレイ類,2,800,800,800,
,,マダラ,,,,,
,,スケトウダラ,,,,,
,2,アイナメ,9,"2,300","1,353",600,
,,アンコウ類,,,,,
,,メバル類,,,,,
,1,クロソイ,1,500,500,500,
,,その他のソイ類,,,,,
,,ケガニ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
,,その他のカニ類,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
,,サバ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
いか釣,,スルメイカ,,,,,
,,ヤリイカ,,,,,
いさだ船びき網,4,ツノナシオキアミ（イサダ）,"25,800",104,104,104,
大中型まき網,,サバ類,,,,,
中型まき網,,マイワシ,,,,,
小型まき網,,カツオ,,,,,
中小型まき網,,ブリ,,,,,
こうなご棒受網,,イカナゴ（コウナゴ）,,,,,
かご,5,タコ類,406,"1,050",838,627,
,,アナゴ類,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,
,5,ケガニ,634,"4,030","1,772","1,000",
