漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
,1,サバ類,,0,10,100,100,100,
,1,スルメイカ,,0,4,400,400,400,
,1,ヤリイカ,,0,192,"1,809","1,379","1,190",
磯建網,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
,,ヤリイカ,,,,,,,
さけ・ます延縄,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
いか釣,,スルメイカ,,,,,,,
,4,ヤリイカ,,48,240,"1,160",873,570,
船凍いか,,アカイカ,,,,,,,
底刺網,4,ヒラメ,,0,10,"2,460","1,853",939,
,5,マコガレイ・マガレイ,,0,17,850,741,550,
,27,ババガレイ（ナメタガレイ）,,0,275,"2,610","1,763","1,000",
,,まつかわ,,,,,,,
,18,マダラ,,0,"1,125",922,426,51,
,,スケトウダラ,,,,,,,
,10,アイナメ,,0,63,800,525,450,
,12,アンコウ類,,0,56,"1,670","1,433",919,
,,クロソイ,,,,,,,
,11,その他のソイ類,,1,62,"1,666",645,417,
,,ケガニ,,,,,,,
小延縄,1,マコガレイ・マガレイ,,0,2,800,800,800,
,1,ババガレイ（ナメタガレイ）,,0,2,"2,400","2,400","2,400",
,,まつかわ,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,8,アイナメ,,0,79,"1,579","1,230",700,
,,クロソイ,,,,,,,
,,その他のソイ類,,,,,,,
,,かじか,,,,,,,
かご,,タコ類,,,,,,,
,,ケガニ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,,アナゴ類,,,,,,,
たら延縄,1,マダラ,,46,276,833,587,367,
,,スケトウダラ,,,,,,,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,その他のタラ類,,,,,,,
,,スルメイカ,,,,,,,
,,ヤリイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,マダラ,,,,,,,
