漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,10,アキサケ（オス）,238,200,199,150,
,9,アキサケ（メス）,81,400,284,200,
,,オオメマス（シロザケ）,,,,,
,12,サバ類,"52,865",600,67,1,
,,マイワシ,,,,,
,,カタクチイワシ,,,,,
,2,マアジ,16,700,558,500,
,1,クロマグロ,9,"1,789","1,789","1,789",
,,サンマ,,,,,
,9,ブリ,"1,533",822,72,5,
,11,スルメイカ,"3,333",253,211,150,
突き棒,,マカジキ,,,,,
,1,メカジキ,110,842,842,842,
かつお一本釣り,,カツオ,,,,,
大中型まき網,,サバ類,,,,,
中型まき網,,マイワシ,,,,,
小型まき網,,カタクチイワシ,,,,,
中小型まき網,,,,,,,
さんま棒受網,,サンマ,,,,,
いか釣,10,スルメイカ,840,"2,450",338,"1,000",
,,アカイカ,,,,,
船凍いか,,アカイカ,,,,,
底刺網,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,2,ババガレイ（ナメタガレイ）,10,"13,300","2,521",989,
,,まつかわ,,,,,
,,マダラ,,,,,
,,スケトウダラ,,,,,
,2,アイナメ,10,977,383,250,
,1,アンコウ類,6,90,90,90,
,,クロソイ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
,1,ババガレイ（ナメタガレイ）,1,890,890,890,
,2,その他のカレイ類,2,"9,440","5,505","1,570",
,1,マダラ,6,899,150,899,
,,スケトウダラ,,,,,
,3,エゾイソアイナメ（ドンコ）,60,680,104,580,
,4,アイナメ,6,"1,543","1,205",520,
,,クロソイ,,,,,
かご,16,タコ類,"1,405",434,348,90,
,,アナゴ類,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,タコ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
