漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,,,
,,サクラマス（ママス）,,,,,,,
,1,カラフトマス,,0,1,500,500,500,
,,マスノスケ,,,,,,,
,4,サバ類,,0,57,"1,500",561,50,
,,マイワシ,,,,,,,
,3,カタクチイワシ,,0,258,100,66,30,
,,マアジ,,,,,,,
,4,クロマグロ,,2,334,"3,270","2,289",970,
,,サンマ,,,,,,,
,,ブリ,,,,,,,
,9,スルメイカ,,0,"3,006",110,67,25,
,6,マンボウ類,,0,605,"1,000",583,80,
さけ・ます延縄,,オオメマス（シロザケ）,,,,,,,
,,カラフトマス,,,,,,,
突き棒,,マカジキ,,,,,,,
,4,メカジキ,,0,669,"1,369","1,083",922,
かつお一本釣り,,カツオ,,,,,,,
こうなご棒受網,,イカナゴ（コウナゴ）,,,,,,,
いか釣,4,スルメイカ,,123,"1,237",360,154,51,
底刺網,,ヒラメ,,,,,,,
,5,マコガレイ・マガレイ,,0,20,"1,100","1,025",983,
,7,ババガレイ（ナメタガレイ）,,0,69,"1,000",381,100,
,,まつかわ,,,,,,,
,6,マダラ,,59,784,198,141,59,
,,スケトウダラ,,,,,,,
,13,アイナメ,,0,56,"1,110",764,450,
,2,アンコウ類,,0,16,289,277,269,
,2,クロソイ,,0,5,"1,000",738,400,
,5,その他のソイ類,,0,22,800,616,489,
小延縄,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,20,アイナメ,,0,149,"1,571","1,190",480,
,,クロソイ,,,,,,,
,,その他のソイ類,,,,,,,
かご,,タコ類,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,その他のタラ類,,,,,,,
,,スルメイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,マダラ,,,,,,,
