漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,13,アキサケ（オス）,,"11,968","39,785",609,166,30,
,13,アキサケ（メス）,,"10,993","36,615","1,133",595,289,
,12,サバ類,,0,"19,389",345,55,20,
,,マイワシ,,,,,,,
,,カタクチイワシ,,,,,,,
,2,マアジ,,0,15,"1,600","1,129","1,000",
,,クロマグロ,,,,,,,
,,サンマ,,,,,,,
,7,ブリ,,0,"1,907","1,000",81,30,
,13,スルメイカ,,0,"66,689",253,209,150,
,5,ヤリイカ,,0,51,850,713,600,
磯建網,1,アキサケ（オス）,,17,51,89,89,89,
,1,アキサケ（メス）,,13,40,439,439,439,
さけ・ます延縄,2,アキサケ（オス）,,26,71,209,148,10,
,2,アキサケ（メス）,,35,97,570,569,550,
突き棒,,マカジキ,,,,,,,
,,メカジキ,,,,,,,
さんま棒受網,,サンマ,,,,,,,
いか釣,14,スルメイカ,,269,"1,345",560,471,200,
,,アカイカ,,,,,,,
,,ヤリイカ,,,,,,,
船凍いか,,アカイカ,,,,,,,
底刺網,,ヒラメ,,,,,,,
,2,マコガレイ・マガレイ,,0,7,890,890,890,
,5,ババガレイ（ナメタガレイ）,,0,55,"1,855","1,146",735,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,2,アイナメ,,0,9,440,332,300,
,2,アンコウ類,,0,19,"1,690","1,323",279,
,,ケガニ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,1,マダラ,,1,6,883,883,883,
,,スケトウダラ,,,,,,,
,1,エゾイソアイナメ（ドンコ）,,4,24,382,323,227,
,5,アイナメ,,0,34,880,757,669,
かご,48,タコ類,,0,"2,690",626,556,150,
,,アナゴ類,,,,,,,
たら延縄,1,マダラ,,15,90,"1,220",930,407,
,,スケトウダラ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,スルメイカ,,,,,,,
,,ヤリイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,5,タコ類,,0,167,"1,500","1,137",600,
,,アナゴ類,,,,,,,
