漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,12,アキサケ（オス）,,598,"1,942",229,162,60,
,12,アキサケ（メス）,,525,"1,518",380,326,150,
,12,サバ類,,0,"34,800",700,18,10,
,,マイワシ,,,,,,,
,,カタクチイワシ,,,,,,,
,1,マアジ,,0,14,100,100,100,
,,クロマグロ,,,,,,,
,,サンマ,,,,,,,
,9,ブリ,,0,"5,023",400,50,11,
,8,スルメイカ,,0,"3,122",220,161,90,
,,ヤリイカ,,,,,,,
磯建網,9,アキサケ（オス）,,134,431,130,129,50,
,9,アキサケ（メス）,,125,353,327,322,150,
さけ・ます延縄,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
突き棒,7,マカジキ,,0,807,"1,624","1,222",555,
,1,メカジキ,,0,76,967,967,967,
かつお一本釣り,,カツオ,,,,,,,
大中型まき網,,サバ類,,,,,,,
中型まき網,,マイワシ,,,,,,,
小型まき網,,カタクチイワシ,,,,,,,
中小型まき網,,,,,,,,,
さんま棒受網,1,サンマ,,0,"59,939",55,33,30,
いか釣,7,スルメイカ,,189,"1,024",400,312,130,
,18,アカイカ,,0,"11,521",136,121,59,
船凍いか,,アカイカ,,,,,,,
底刺網,1,ヒラメ,,0,1,"3,000","3,000","3,000",
,,マコガレイ・マガレイ,,,,,,,
,2,ババガレイ（ナメタガレイ）,,0,2,"1,500",932,420,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,4,アイナメ,,0,14,"1,000",614,300,
,1,アンコウ類,,0,17,469,271,150,
,1,タコ類,,0,4,650,650,650,
,,アナゴ類,,,,,,,
小延縄,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,5,アイナメ,,0,23,"1,700","1,327",530,
かご,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,スルメイカ,,,,,,,
,,ヤリイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
