2023年,釜石湾(3m)
12月1日,15.94
12月2日,15.86
12月3日,15.56
12月4日,15.49
12月5日,15.56
12月6日,15.47
12月7日,15.42
12月8日,14.99
12月9日,15.03
12月10日,15.05
12月11日,14.99
12月12日,14.57
12月13日,14.83
12月14日,14.58
12月15日,14.61
12月16日,14.56
12月17日,14.66
12月18日,14.35
12月19日,14.51
12月20日,14.27
12月21日,14.13
12月22日,14.32
12月23日,14.47
12月24日,14.34
12月25日,14.30
12月26日,14.29
12月27日,14.10
12月28日,14.16
12月29日,14.14
12月30日,14.39
12月31日,14.47
