漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,,,
,2,サクラマス（ママス）,,0,5,600,578,550,
,,カラフトマス,,,,,,,
,,マスノスケ,,,,,,,
,9,サバ類,,0,"9,620",600,89,5,
,,マイワシ,,,,,,,
,,カタクチイワシ,,,,,,,
,6,マアジ,,0,249,500,324,100,
,1,クロマグロ,,0,6,"1,749","1,749","1,749",
,1,サンマ,,0,11,10,10,10,
,7,ブリ,,0,854,100,23,16,
,10,スルメイカ,,0,"4,954",120,74,30,
,,マンボウ類,,,,,,,
突き棒,,マカジキ,,,,,,,
,1,メカジキ,,0,938,836,814,801,
かつお一本釣り,,カツオ,,,,,,,
大中型まき網,,サバ類,,,,,,,
中型まき網,,マイワシ,,,,,,,
小型まき網,,カタクチイワシ,,,,,,,
中小型まき網,,,,,,,,,
さんま棒受網,,サンマ,,,,,,,
いか釣,10,スルメイカ,,615,"3,965",442,261,69,
,,アカイカ,,,,,,,
船凍いか,,アカイカ,,,,,,,
底刺網,,ヒラメ,,,,,,,
,1,マコガレイ・マガレイ,,0,3,800,800,800,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,まつかわ,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,1,アイナメ,,0,5,270,270,270,
,,アンコウ類,,,,,,,
,,クロソイ,,,,,,,
,,タコ類,,,,,,,
,1,アナゴ類,,0,3,888,888,888,
小延縄（新）,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,3,その他のカレイ類,,6,9,"1,060",715,666,
,1,マダラ,,1,6,298,298,298,
,,スケトウダラ,,,,,,,
,4,エゾイソアイナメ（ドンコ）,,16,96,208,182,138,
,2,アイナメ,,0,5,"1,333",905,540,
,,クロソイ,,,,,,,
かご,30,タコ類,,0,"1,853",556,526,30,
,,アナゴ類,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,マダラ,,,,,,,
,1,タコ類,,0,20,"1,300","1,175","1,000",
,,アナゴ類,,,,,,,
