漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
,,オオメマス（シロザケ）,,,,,,,
,,サクラマス（ママス）,,,,,,,
,,カラフトマス,,,,,,,
,,マスノスケ,,,,,,,
,,サバ類,,,,,,,
,,ヤリイカ,,,,,,,
磯建網,,ヤリイカ,,,,,,,
さけ・ます延縄,,オオメマス（シロザケ）,,,,,,,
,,カラフトマス,,,,,,,
こうなご棒受網,,イカナゴ（コウナゴ）,,,,,,,
いさだ船びき網,15,ツノナシオキアミ（イサダ）,,"2,893","86,790",27,25,24,
底刺網,1,ヒラメ,,0,2,"1,900","1,900","1,900",
,9,マコガレイ・マガレイ,,0,63,"1,270","1,188","1,069",
,39,ババガレイ（ナメタガレイ）,,0,481,"2,300","1,466",889,
,,まつかわ,,,,,,,
,14,マダラ,,10,198,"1,000",300,169,
,,スケトウダラ,,,,,,,
,4,アイナメ,,0,17,"1,460","1,339","1,000",
,20,アンコウ類,,0,273,"1,160",839,434,
,,クロソイ,,,,,,,
,1,その他のソイ類,,0,3,"1,300","1,300","1,300",
,13,ケガニ,,0,384,"5,440","1,546",300,
小延縄,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,7,アイナメ,,0,30,"2,671","2,097",410,
,1,クロソイ,,0,2,"1,300","1,300","1,300",
,,その他のソイ類,,,,,,,
,,かじか,,,,,,,
かご,,タコ類,,,,,,,
,,ケガニ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,,アナゴ類,,,,,,,
たら延縄,2,マダラ,,81,603,574,442,250,
,1,スケトウダラ,,6,36,333,331,330,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,その他のタラ類,,,,,,,
,,スルメイカ,,,,,,,
,,ヤリイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,マダラ,,,,,,,
