漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,4,オオメマス（シロザケ）,146,"1,000",867,600,
,6,サクラマス（ママス）,336,800,709,500,
,1,カラフトマス,2,300,300,300,
,1,マスノスケ,7,869,869,869,
,1,サバ類,6,300,300,300,
,,マイワシ,,,,,
,,カタクチイワシ,,,,,
,,マアジ,,,,,
,2,クロマグロ,44,"2,070","1,664","1,220",
,,サンマ,,,,,
,,ブリ,,,,,
,4,スルメイカ,57,"1,300",758,500,
,,マンボウ類,,,,,
さけ・ます延縄,,オオメマス（シロザケ）,,,,,
,,カラフトマス,,,,,
突き棒,,マカジキ,,,,,
,,メカジキ,,,,,
かつお一本釣り,,カツオ,,,,,
こうなご棒受網,1,イカナゴ（コウナゴ）,26,"1,600","1,455","1,300",
いか釣,,スルメイカ,,,,,
底刺網,,ヒラメ,,,,,
,2,マコガレイ・マガレイ,24,550,310,300,
,2,ババガレイ（ナメタガレイ）,13,"14,600","1,600",542,
,,まつかわ,,,,,
,2,マダラ,336,"1,050",123,410,
,,スケトウダラ,,,,,
,2,アイナメ,5,"1,450",729,300,
,2,アンコウ類,22,130,111,80,
,3,クロソイ,5,"2,110","1,270",570,
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
,3,ババガレイ（ナメタガレイ）,3,"1,690",990,450,
,4,その他のカレイ類,4,"2,000","1,348",777,
,2,マダラ,12,899,126,610,
,,スケトウダラ,,,,,
,6,エゾイソアイナメ（ドンコ）,140,850,94,400,
,15,アイナメ,126,"1,150",797,150,
,1,クロソイ,2,800,800,800,
かご,55,タコ類,"4,655",431,365,139,
,,アナゴ類,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,タコ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,マダラ,,,,,
,1,タコ類,61,"1,200",909,500,
,,アナゴ類,,,,,
