漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
,,サバ類,,,,,,,
,,ヤリイカ,,,,,,,
磯建網,,アキサケ（メス）,,,,,,,
,,ヤリイカ,,,,,,,
船凍いか,,アカイカ,,,,,,,
いさだ船びき網,19,ツノナシオキアミ（イサダ）,,"3,340","100,200",58,57,57,
底刺網,2,ヒラメ,,0,2,"3,737","3,737","3,737",
,37,マコガレイ・マガレイ,,0,222,"1,100",859,689,
,57,ババガレイ（ナメタガレイ）,,0,350,"2,800","1,305",100,
,,まつかわ,,,,,,,
,2,マダラ,,0,11,414,388,380,
,,スケトウダラ,,,,,,,
,5,アイナメ,,0,16,720,654,298,
,20,アンコウ類,,0,112,"2,322","1,978","1,409",
,,クロソイ,,,,,,,
,3,その他のソイ類,,0,10,"1,290","1,069",839,
,10,ケガニ,,0,187,"7,490","2,364",300,
小延縄,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,1,その他のカレイ類,,0,1,"5,321","5,321","5,321",
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,2,エゾイソアイナメ（ドンコ）,,5,30,633,496,367,
,13,アイナメ,,0,87,"1,839","1,589",350,
,,クロソイ,,,,,,,
,,その他のソイ類,,,,,,,
,,かじか,,,,,,,
かご,,タコ類,,,,,,,
,,ケガニ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,,アナゴ類,,,,,,,
たら延縄,1,マダラ,,50,300,647,432,100,
,1,スケトウダラ,,3,21,333,305,100,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,その他のタラ類,,,,,,,
,,スルメイカ,,,,,,,
,,ヤリイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,マダラ,,,,,,,
