漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,
,1,サクラマス（ママス）,4,500,500,500,
,1,カラフトマス,1,300,300,300,
,,マスノスケ,,,,,
,7,サバ類,677,400,113,50,
,,マイワシ,,,,,
,,カタクチイワシ,,,,,
,1,マアジ,3,800,800,800,
,,クロマグロ,,,,,
,,サンマ,,,,,
,5,ブリ,998,292,243,50,
,7,スルメイカ,399,400,336,100,
,2,マンボウ類,28,"1,600",764,500,
突き棒,,マカジキ,,,,,
,,メカジキ,,,,,
かつお一本釣り,,カツオ,,,,,
大中型まき網,,サバ類,,,,,
中型まき網,,マイワシ,,,,,
小型まき網,,カタクチイワシ,,,,,
中小型まき網,,,,,,,
いか釣,1,スルメイカ,255,"3,000",466,"1,500",
,,アカイカ,,,,,
船凍いか,,アカイカ,,,,,
底刺網,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,1,ババガレイ（ナメタガレイ）,1,"2,500","2,500","2,500",
,1,まつかわ,3,"2,000","2,000","2,000",
,,マダラ,,,,,
,,スケトウダラ,,,,,
,5,アイナメ,84,"2,000",394,400,
,1,アンコウ類,13,150,150,150,
,2,クロソイ,55,"1,300",247,"1,200",
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,4,その他のカレイ類,4,"5,000","3,250","1,500",
,,マダラ,,,,,
,,スケトウダラ,,,,,
,2,エゾイソアイナメ（ドンコ）,30,800,107,600,
,,アイナメ,,,,,
,,クロソイ,,,,,
かご,35,タコ類,"4,188",673,584,100,
,,アナゴ類,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,マダラ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
