漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,
,1,サクラマス（ママス）,5,"1,000",902,700,
,,カラフトマス,,,,,
,,マスノスケ,,,,,
,4,サバ類,988,200,94,93,
,,マイワシ,,,,,
,,カタクチイワシ,,,,,
,3,マアジ,80,300,286,250,
,,クロマグロ,,,,,
,,サンマ,,,,,
,7,ブリ,"7,615",181,122,91,
,2,スルメイカ,54,"1,000",700,500,
,,マンボウ類,,,,,
突き棒,,マカジキ,,,,,
,1,メカジキ,27,789,789,789,
かつお一本釣り,,カツオ,,,,,
大中型まき網,,サバ類,,,,,
中型まき網,,マイワシ,,,,,
小型まき網,,カタクチイワシ,,,,,
中小型まき網,,,,,,,
さんま棒受網,,サンマ,,,,,
いか釣,,スルメイカ,,,,,
,,アカイカ,,,,,
船凍いか,,アカイカ,,,,,
底刺網,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,まつかわ,,,,,
,1,マダラ,78,300,274,50,
,1,スケトウダラ,28,150,39,30,
,1,アイナメ,50,"1,500",318,900,
,,アンコウ類,,,,,
,1,クロソイ,35,"2,000",234,500,
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,1,マコガレイ・マガレイ,8,450,450,450,
,1,ババガレイ（ナメタガレイ）,7,700,591,300,
,,その他のカレイ類,,,,,
,1,マダラ,12,"1,200",200,"1,200",
,,スケトウダラ,,,,,
,1,エゾイソアイナメ（ドンコ）,36,"2,000",244,"1,000",
,,アイナメ,,,,,
,,クロソイ,,,,,
かご,,タコ類,,,,,
,,アナゴ類,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,マダラ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
