漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,8,アキサケ（オス）,,63,198,300,251,200,
,8,アキサケ（メス）,,39,104,550,550,550,
,,オオメマス（シロザケ）,,,,,,,
,8,サバ類,,0,"1,929",60,31,31,
,,マイワシ,,,,,,,
,1,カタクチイワシ,,0,8,3,3,3,
,5,マアジ,,1,164,800,28,2,
,,クロマグロ,,,,,,,
,,サンマ,,,,,,,
,7,ブリ,,0,"5,257",700,135,46,
,7,スルメイカ,,1,"2,088",300,128,110,
突き棒,1,マカジキ,,0,205,955,689,300,
,1,メカジキ,,0,"1,950","1,001",841,762,
かつお一本釣り,,カツオ,,,,,,,
大中型まき網,,サバ類,,,,,,,
中型まき網,,マイワシ,,,,,,,
小型まき網,,カタクチイワシ,,,,,,,
中小型まき網,,,,,,,,,
さんま棒受網,,サンマ,,,,,,,
いか釣,10,スルメイカ,,754,"4,079","1,590",195,80,
,,アカイカ,,,,,,,
船凍いか,,アカイカ,,,,,,,
底刺網,3,ヒラメ,,1,11,"1,850",892,800,
,,マコガレイ・マガレイ,,,,,,,
,1,ババガレイ（ナメタガレイ）,,0,1,"1,290","1,290","1,290",
,,まつかわ,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,9,アイナメ,,5,40,770,309,200,
,,アンコウ類,,,,,,,
,5,クロソイ,,6,9,"3,000","1,477",370,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
小延縄（新）,1,マコガレイ・マガレイ,,0,3,811,811,811,
,4,ババガレイ（ナメタガレイ）,,4,4,"4,900","2,373",870,
,5,その他のカレイ類,,5,5,"2,500","1,200",50,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,10,エゾイソアイナメ（ドンコ）,,56,331,"1,400",159,350,
,13,アイナメ,,0,45,"2,010","1,436",230,
,,クロソイ,,,,,,,
かご,24,タコ類,,0,"1,616",476,317,159,
,,アナゴ類,,,,,,,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,1,スルメイカ,,0,"11,911",89,89,89,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,その他のカレイ類,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
