漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,アキサケ（オス）,,,,,
,1,アキサケ（メス）,2,"1,000","1,000","1,000",
,5,サバ類,"5,025",116,96,85,
,4,ブリ,"1,417",400,203,10,
,,マイワシ,,,,,
,,カタクチイワシ,,,,,
,3,スルメイカ,169,"1,500",566,300,
,4,ヤリイカ,301,750,588,200,
,,サワラ,,,,,
,1,クロマグロ,15,"1,300","1,300","1,300",
,6,マアジ,175,500,290,60,
,,マダイ,,,,,
,,その他のタイ類,,,,,
,,サンマ,,,,,
,2,たちうお,21,"1,500","1,500","1,500",
磯建網,,アキサケ（オス）,,,,,
,,アキサケ（メス）,,,,,
,2,サバ類,21,85,85,85,
,1,ブリ,2,200,200,200,
,1,マイワシ,6,30,30,30,
小延縄（新）,,マコガレイ・マガレイ,,,,,
たら延縄,,ババガレイ（ナメタガレイ）,,,,,
底延縄,,キチジ,,,,,
立て縄,1,マダラ,6,"3,000",500,"3,000",
,,スケトウダラ,,,,,
,1,エゾイソアイナメ（ドンコ）,6,"2,500",417,"2,500",
,,アイナメ,,,,,
,,アナゴ類,,,,,
,,ヒラメ,,,,,
底刺網,2,ヒラメ,9,"2,000","1,553",800,
,,マコガレイ・マガレイ,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,マダラ,,,,,
,,スケトウダラ,,,,,
,1,アイナメ,18,"2,000",936,800,
,,アンコウ類,,,,,
,1,メバル類,12,"2,800",467,"2,800",
,1,クロソイ,12,100,100,100,
,,その他のソイ類,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
,,その他のカニ類,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
,,サバ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
いか釣,,スルメイカ,,,,,
,,ヤリイカ,,,,,
かつお一本釣り,,カツオ,,,,,
大中型まき網,,サバ類,,,,,
中型まき網,1,マイワシ,"130,804",55,55,55,
小型まき網,,カツオ,,,,,
中小型まき網,,ブリ,,,,,
さんま棒受網,,サンマ,,,,,
かご,8,タコ類,466,"1,150",828,400,
,,アナゴ類,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,
突き棒,,メカジキ,,,,,
,,マカジキ,,,,,
