2019年,釜石湾(3m)
4月1日,5.95
4月2日,5.81
4月3日,5.69
4月4日,5.94
4月5日,5.91
4月6日,5.97
4月7日,6.26
4月8日,6.62
4月9日,6.75
4月10日,6.82
4月11日,6.87
4月12日,6.93
4月13日,7.25
4月14日,7.09
4月15日,7.11
4月16日,6.94
4月17日,7.56
4月18日,7.95
4月19日,8.03
4月20日,8.11
4月21日,8.69
4月22日,9.37
4月23日,9.09
4月24日,9.23
4月25日,9.85
4月26日,10.09
4月27日,9.54
4月28日,9.73
4月29日,9.85
4月30日,9.89
