漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,12,アキサケ（オス）,,"10,281","32,952",448,154,36,
,12,アキサケ（メス）,,"7,655","24,497",925,738,475,
,9,サバ類,,0,656,"2,000",33,2,
,,マイワシ,,,,,,,
,1,カタクチイワシ,,0,98,15,11,10,
,6,マアジ,,0,65,50,37,20,
,2,クロマグロ,,0,235,"1,890","1,604","1,239",
,,サンマ,,,,,,,
,7,ブリ,,0,512,"1,689",315,80,
,6,スルメイカ,,1,208,800,371,300,
,10,ヤリイカ,,0,204,"1,300",660,300,
磯建網,4,アキサケ（オス）,,32,100,40,31,30,
,4,アキサケ（メス）,,20,60,600,536,309,
さけ・ます延縄,2,アキサケ（オス）,,9,28,150,150,150,
,2,アキサケ（メス）,,5,14,450,450,450,
突き棒,,マカジキ,,,,,,,
,,メカジキ,,,,,,,
大中型まき網,,サバ類,,,,,,,
中型まき網,,マイワシ,,,,,,,
小型まき網,,カタクチイワシ,,,,,,,
中小型まき網,,,,,,,,,
さんま棒受網,4,サンマ,,0,"76,574",40,32,30,
いか釣,2,スルメイカ,,153,765,"2,639",287,"1,000",
,,アカイカ,,,,,,,
,,ヤリイカ,,,,,,,
船凍いか,,アカイカ,,,,,,,
底刺網,1,ヒラメ,,0,3,"1,200","1,070",890,
,2,マコガレイ・マガレイ,,0,5,809,672,500,
,8,ババガレイ（ナメタガレイ）,,4,33,"7,820","2,042","1,330",
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,3,アイナメ,,0,26,350,220,212,
,2,アンコウ類,,0,10,"1,550","1,217",800,
,,タコ類,,,,,,,
,1,アナゴ類,,0,6,370,370,370,
小延縄（新）,,マコガレイ・マガレイ,,,,,,,
,3,ババガレイ（ナメタガレイ）,,1,4,"2,890","1,792","1,399",
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,3,エゾイソアイナメ（ドンコ）,,18,108,"2,800",305,800,
,14,アイナメ,,0,117,"1,000",718,589,
かご,37,タコ類,,0,"2,255",576,548,160,
,,アナゴ類,,,,,,,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,スルメイカ,,,,,,,
,,ヤリイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
