漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,
,3,サクラマス（ママス）,35,"1,100",968,600,
,,カラフトマス,,,,,
,,マスノスケ,,,,,
,6,サバ類,"11,019",140,59,30,
,3,マイワシ,"1,159",400,165,30,
,,カタクチイワシ,,,,,
,,マアジ,,,,,
,1,クロマグロ,45,"1,630","1,464","1,376",
,,サンマ,,,,,
,6,ブリ,"7,500",200,167,150,
,1,スルメイカ,36,"1,000","1,000","1,000",
,1,マンボウ類,21,"1,500","1,500","1,500",
さけ・ます延縄,,オオメマス（シロザケ）,,,,,
,,カラフトマス,,,,,
突き棒,,マカジキ,,,,,
,,メカジキ,,,,,
かつお一本釣り,,カツオ,,,,,
こうなご棒受網,,イカナゴ（コウナゴ）,,,,,
いか釣,,スルメイカ,,,,,
底刺網,2,ヒラメ,70,710,463,255,
,,マコガレイ・マガレイ,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,まつかわ,,,,,
,1,マダラ,166,300,300,300,
,,スケトウダラ,,,,,
,,アイナメ,,,,,
,1,アンコウ類,26,139,118,50,
,,クロソイ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
,2,ババガレイ（ナメタガレイ）,7,"2,880",589,"1,240",
,3,その他のカレイ類,12,"4,000",502,670,
,,マダラ,,,,,
,,スケトウダラ,,,,,
,4,エゾイソアイナメ（ドンコ）,72,"1,300",156,700,
,1,アイナメ,2,489,489,489,
,,クロソイ,,,,,
かご,40,タコ類,"5,917",505,492,120,
,,アナゴ類,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,タコ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,マダラ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
