2014年,釜石湾(3m)
4月1日,4.65
4月2日,4.51
4月3日,4.29
4月4日,4.44
4月5日,4.01
4月6日,4.06
4月7日,3.97
4月8日,4.04
4月9日,4.20
4月10日,4.33
4月11日,4.30
4月12日,3.98
4月13日,4.42
4月14日,4.74
4月15日,4.21
4月16日,4.20
4月17日,4.24
4月18日,4.44
4月19日,4.71
4月20日,4.60
4月21日,4.38
4月22日,4.20
4月23日,4.43
4月24日,4.39
4月25日,4.73
4月26日,5.33
4月27日,4.90
4月28日,5.05
4月29日,5.64
4月30日,5.28
