漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,3,サバ類,305,73,71,10,
,2,ブリ,19,350,311,300,
,1,マイワシ,240,102,88,85,
,,カタクチイワシ,,,,,
,1,スルメイカ,1,500,500,500,
,2,ヤリイカ,3,"1,200","1,080","1,000",
,,サワラ,,,,,
,,クロマグロ,,,,,
,,マアジ,,,,,
,3,マダイ,80,900,806,800,
,,その他のタイ類,,,,,
,,サンマ,,,,,
,2,サクラマス（ママス）,87,"1,000",897,500,
,,カラフトマス,,,,,
,,オオメマス（シロザケ）,,,,,
,,スケトウダラ,,,,,
磯建網,,サバ類,,,,,
,,ブリ,,,,,
,,マイワシ,,,,,
,,サクラマス（ママス）,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
たら延縄,2,ババガレイ（ナメタガレイ）,28,500,451,400,
底延縄,,キチジ,,,,,
立て縄,,マダラ,,,,,
,,スケトウダラ,,,,,
,4,エゾイソアイナメ（ドンコ）,103,"2,500",277,100,
,2,アイナメ,9,"1,800","1,222",500,
,2,アナゴ類,11,"1,200","1,200","1,200",
,,ヒラメ,,,,,
底刺網,1,ヒラメ,1,600,600,600,
,,マコガレイ・マガレイ,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,マダラ,,,,,
,,スケトウダラ,,,,,
,2,アイナメ,19,"1,700","1,348",200,
,,アンコウ類,,,,,
,,メバル類,,,,,
,1,クロソイ,1,300,300,300,
,,その他のソイ類,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
,,その他のカニ類,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
,,サバ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
いさだ船びき網,,ツノナシオキアミ（イサダ）,,,,,
大中型まき網,,サバ類,,,,,
中型まき網,,マイワシ,,,,,
小型まき網,,カツオ,,,,,
中小型まき網,,ブリ,,,,,
こうなご棒受網,,イカナゴ（コウナゴ）,,,,,
さんま棒受網,,サンマ,,,,,
かご,5,タコ類,225,"1,331","1,100",280,
,,アナゴ類,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,
