2017年,釜石湾(3m)
7月1日,16.20
7月2日,15.75
7月3日,16.27
7月4日,16.01
7月5日,15.87
7月6日,15.94
7月7日,16.83
7月8日,16.83
7月9日,17.25
7月10日,17.45
7月11日,17.86
7月12日,17.51
7月13日,17.26
7月14日,17.65
7月15日,18.07
7月16日,17.27
7月17日,17.84
7月18日,18.03
7月19日,18.28
7月20日,18.55
7月21日,19.07
7月22日,19.41
7月23日,18.74
7月24日,17.97
7月25日,17.61
7月26日,18.25
7月27日,19.30
7月28日,19.37
7月29日,19.89
7月30日,19.84
7月31日,19.97
