漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,10,アキサケ（オス）,,819,"2,547",629,83,31,
,10,アキサケ（メス）,,"1,347","4,264",910,680,531,
,7,サバ類,,0,"5,757",300,47,20,
,,マイワシ,,,,,,,
,,カタクチイワシ,,,,,,,
,,マアジ,,,,,,,
,1,クロマグロ,,0,3,"1,000","1,000","1,000",
,,サンマ,,,,,,,
,2,ブリ,,0,"7,297",800,95,44,
,10,スルメイカ,,0,"49,080",142,98,80,
,3,ヤリイカ,,0,49,"1,000",833,600,
磯建網,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
さけ・ます延縄,,アキサケ（オス）,,,,,,,
,,アキサケ（メス）,,,,,,,
突き棒,,マカジキ,,,,,,,
,,メカジキ,,,,,,,
さんま棒受網,,サンマ,,,,,,,
いか釣,4,スルメイカ,,110,550,556,533,200,
,,アカイカ,,,,,,,
,1,ヤリイカ,,0,15,"1,300","1,209","1,000",
船凍いか,,アカイカ,,,,,,,
底刺網,4,ヒラメ,,0,19,"1,570",858,621,
,4,マコガレイ・マガレイ,,0,12,510,458,420,
,9,ババガレイ（ナメタガレイ）,,0,94,"3,299","1,647",600,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,4,アイナメ,,0,8,671,387,50,
,1,アンコウ類,,0,15,"1,600","1,300","1,100",
,,ケガニ,,,,,,,
,,タコ類,,,,,,,
,1,アナゴ類,,0,4,390,390,390,
小延縄（新）,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
,5,アイナメ,,0,6,901,785,450,
かご,63,タコ類,,0,"3,772",730,585,130,
,,アナゴ類,,,,,,,
たら延縄,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,エゾイソアイナメ（ドンコ）,,,,,,,
沖合底びき網,,マダラ,,,,,,,
小型機船底びき網,,スケトウダラ,,,,,,,
,,スルメイカ,,,,,,,
,,ヤリイカ,,,,,,,
,,タコ類,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,,キチジ,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,2,タコ類,,0,134,"1,800","1,024",600,
,,アナゴ類,,,,,,,
