漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,,,
,,サクラマス（ママス）,,,,,,,
,,カラフトマス,,,,,,,
,,マスノスケ,,,,,,,
,9,サバ類,,0,"64,502",591,61,28,
,,マイワシ,,,,,,,
,1,カタクチイワシ,,0,336,10,5,5,
,2,マアジ,,0,9,700,485,300,
,,クロマグロ,,,,,,,
,,サンマ,,,,,,,
,7,ブリ,,0,"2,745",300,24,21,
,7,スルメイカ,,0,"12,591",200,103,46,
,2,マンボウ類,,2,19,700,469,50,
突き棒,,マカジキ,,,,,,,
,3,メカジキ,,0,"2,476",859,703,523,
かつお一本釣り,,カツオ,,,,,,,
大中型まき網,,サバ類,,,,,,,
中型まき網,,マイワシ,,,,,,,
小型まき網,,カタクチイワシ,,,,,,,
中小型まき網,,,,,,,,,
さんま棒受網,1,サンマ,,0,"51,802",160,124,110,
いか釣,13,スルメイカ,,800,"4,260","2,181",317,52,
,,アカイカ,,,,,,,
船凍いか,,アカイカ,,,,,,,
底刺網,2,ヒラメ,,1,10,"1,000",722,691,
,,マコガレイ・マガレイ,,,,,,,
,1,ババガレイ（ナメタガレイ）,,1,1,"2,220","2,220","2,220",
,,まつかわ,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,,アイナメ,,,,,,,
,,アンコウ類,,,,,,,
,,クロソイ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,,,
,4,ババガレイ（ナメタガレイ）,,4,4,"6,880","4,543","2,400",
,1,その他のカレイ類,,1,1,669,669,669,
,1,マダラ,,1,6,"2,720",453,"2,720",
,,スケトウダラ,,,,,,,
,7,エゾイソアイナメ（ドンコ）,,26,146,"1,390",190,260,
,3,アイナメ,,0,7,"1,570","1,136",200,
,,クロソイ,,,,,,,
かご,24,タコ類,,0,"1,189",432,337,80,
,,アナゴ類,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,マダラ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
