2015年,釜石湾(3m)
9月1日,19.73
9月2日,19.55
9月3日,19.37
9月4日,19.50
9月5日,19.61
9月6日,19.68
9月7日,19.64
9月8日,19.57
9月9日,19.54
9月10日,19.56
9月11日,19.50
9月12日,19.72
9月13日,19.77
9月14日,19.85
9月15日,20.09
9月16日,19.97
9月17日,19.79
9月18日,19.47
9月19日,19.35
9月20日,19.35
9月21日,19.49
9月22日,19.65
9月23日,19.73
9月24日,19.68
9月25日,19.53
9月26日,19.49
9月27日,19.56
9月28日,19.65
9月29日,19.69
9月30日,19.62
