漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,
,,サクラマス（ママス）,,,,,
,,カラフトマス,,,,,
,,マスノスケ,,,,,
,,サバ類,,,,,
,,マイワシ,,,,,
,,カタクチイワシ,,,,,
,,マアジ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
磯建網,,ヤリイカ,,,,,
さけ・ます延縄,,オオメマス（シロザケ）,,,,,
,,カラフトマス,,,,,
こうなご棒受網,,イカナゴ（コウナゴ）,,,,,
いさだ船びき網,15,ツノナシオキアミ（イサダ）,"74,220",57,54,44,
底刺網,1,ヒラメ,2,"1,800","1,800","1,800",
,2,マコガレイ・マガレイ,14,700,615,477,
,19,ババガレイ（ナメタガレイ）,274,"46,119","2,175",600,
,,まつかわ,,,,,
,7,マダラ,112,"2,000",242,85,
,,スケトウダラ,,,,,
,4,アイナメ,11,"3,099","1,376",788,
,5,アンコウ類,24,346,316,150,
,1,クロソイ,1,"2,619","2,619","2,619",
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
,2,ババガレイ（ナメタガレイ）,4,"14,000","4,583",900,
,1,その他のカレイ類,1,"2,890","2,890","2,890",
,3,マダラ,42,"1,550",199,700,
,,スケトウダラ,,,,,
,2,エゾイソアイナメ（ドンコ）,12,"2,600",330,"1,360",
,12,アイナメ,63,"2,351","1,887",381,
,1,クロソイ,2,"1,649","1,649","1,649",
,,その他のソイ類,,,,,
,,かじか,,,,,
かご,12,タコ類,429,505,367,151,
,,アナゴ類,,,,,
たら延縄,1,マダラ,39,300,257,250,
,1,スケトウダラ,5,250,250,250,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
,,タコ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,マダラ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
