漁業種類,隻数,魚種（銘柄）,規格,本数,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,オオメマス（シロザケ）,,,,,,,
,4,サクラマス（ママス）,,0,23,850,726,600,
,,カラフトマス,,,,,,,
,,マスノスケ,,,,,,,
,8,サバ類,,0,"73,521",200,89,3,
,,マイワシ,,,,,,,
,,カタクチイワシ,,,,,,,
,4,マアジ,,0,16,"1,000",640,500,
,1,クロマグロ,,0,5,"1,000","1,000","1,000",
,1,サンマ,,0,4,200,200,200,
,1,ブリ,,0,18,300,300,300,
,9,スルメイカ,,0,"12,224",240,53,30,
,,マンボウ類,,,,,,,
突き棒,2,マカジキ,,0,260,691,468,281,
,1,メカジキ,,0,299,"1,141","1,138","1,137",
かつお一本釣り,,カツオ,,,,,,,
大中型まき網,,サバ類,,,,,,,
中型まき網,,マイワシ,,,,,,,
小型まき網,,カタクチイワシ,,,,,,,
中小型まき網,,,,,,,,,
いか釣,,スルメイカ,,,,,,,
,,アカイカ,,,,,,,
船凍いか,,アカイカ,,,,,,,
底刺網,1,ヒラメ,,0,3,880,880,880,
,1,マコガレイ・マガレイ,,0,2,588,588,588,
,6,ババガレイ（ナメタガレイ）,,0,45,835,591,425,
,,まつかわ,,,,,,,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,5,アイナメ,,0,43,800,396,200,
,2,アンコウ類,,0,23,175,127,75,
,,クロソイ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,,,
,,ババガレイ（ナメタガレイ）,,,,,,,
,1,その他のカレイ類,,0,2,755,755,755,
,,マダラ,,,,,,,
,,スケトウダラ,,,,,,,
,1,エゾイソアイナメ（ドンコ）,,4,24,213,181,170,
,6,アイナメ,,0,23,"1,291",794,396,
,,クロソイ,,,,,,,
かご,43,タコ類,,0,"4,466",600,537,30,
,,アナゴ類,,,,,,,
その他,,ヒラメ,,,,,,,
,,マコガレイ・マガレイ,,,,,,,
,,アイナメ,,,,,,,
,,マダラ,,,,,,,
,,タコ類,,,,,,,
,,アナゴ類,,,,,,,
