漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,アキサケ（オス）,,,,,
,,アキサケ（メス）,,,,,
,,サバ類,,,,,
,,ヤリイカ,,,,,
磯建網,,アキサケ（メス）,,,,,
,,ヤリイカ,,,,,
船凍いか,,アカイカ,,,,,
いさだ船びき網,,ツノナシオキアミ（イサダ）,,,,,
底刺網,1,ヒラメ,6,"2,270","1,501",740,
,3,マコガレイ・マガレイ,39,310,233,209,
,10,ババガレイ（ナメタガレイ）,157,"1,327",778,464,
,,まつかわ,,,,,
,2,マダラ,22,480,402,250,
,,スケトウダラ,,,,,
,5,アイナメ,98,"1,400",993,547,
,1,アンコウ類,16,891,817,600,
,1,クロソイ,5,700,700,700,
,5,その他のソイ類,37,800,315,150,
,,ケガニ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,マダラ,,,,,
,,スケトウダラ,,,,,
,2,エゾイソアイナメ（ドンコ）,14,"3,100",387,290,
,,アイナメ,,,,,
,,クロソイ,,,,,
,1,その他のソイ類,4,520,520,520,
,,かじか,,,,,
かご,14,タコ類,442,"1,237",694,380,
,1,ケガニ,19,"6,013","3,368","1,800",
,,アナゴ類,,,,,
たら延縄,,マダラ,,,,,
,,スケトウダラ,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
,,タコ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,マダラ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
