漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,,アキサケ（オス）,,,,,
,,アキサケ（メス）,,,,,
,,サバ類,,,,,
,,ヤリイカ,,,,,
磯建網,,アキサケ（メス）,,,,,
,,ヤリイカ,,,,,
船凍いか,,アカイカ,,,,,
いさだ船びき網,,ツノナシオキアミ（イサダ）,,,,,
底刺網,2,ヒラメ,1,"1,190","1,111","1,000",
,3,マコガレイ・マガレイ,60,285,262,249,
,11,ババガレイ（ナメタガレイ）,244,"1,359",730,449,
,,まつかわ,,,,,
,1,マダラ,3,238,238,238,
,,スケトウダラ,,,,,
,2,アイナメ,59,"1,370","1,002",646,
,3,アンコウ類,11,961,905,600,
,1,クロソイ,2,646,646,646,
,3,その他のソイ類,62,"1,020",295,167,
,,ケガニ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
,1,ババガレイ（ナメタガレイ）,12,841,613,545,
,,その他のカレイ類,,,,,
,2,マダラ,19,"3,190",494,550,
,,スケトウダラ,,,,,
,3,エゾイソアイナメ（ドンコ）,53,"3,500",387,300,
,2,アイナメ,4,600,587,567,
,,クロソイ,,,,,
,1,その他のソイ類,1,500,500,500,
,,かじか,,,,,
かご,8,タコ類,231,"1,196",651,230,
,2,ケガニ,17,"4,090","2,901","1,500",
,,アナゴ類,,,,,
たら延縄,,マダラ,,,,,
,,スケトウダラ,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
,,タコ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,マダラ,,,,,
,1,タコ類,11,600,600,600,
,,アナゴ類,,,,,
