漁業種類,隻数,魚種（銘柄）,水揚量(kg),高値(円/kg),平均値(円/kg),安値(円/kg),
定置網,1,オオメマス（シロザケ）,5,"1,300","1,300","1,300",
,3,サクラマス（ママス）,88,"1,800","1,350",400,
,,カラフトマス,,,,,
,,マスノスケ,,,,,
,2,サバ類,13,200,200,200,
,,マイワシ,,,,,
,,カタクチイワシ,,,,,
,,マアジ,,,,,
,,クロマグロ,,,,,
,,サンマ,,,,,
,1,スルメイカ,4,"1,000","1,000","1,000",
,2,ヤリイカ,5,"2,000","2,000","2,000",
さけ・ます延縄,,オオメマス（シロザケ）,,,,,
,,カラフトマス,,,,,
こうなご棒受網,1,イカナゴ（コウナゴ）,19,"2,100","2,021","2,000",
いさだ船びき網,,ツノナシオキアミ（イサダ）,,,,,
底刺網,4,ヒラメ,22,"1,111",980,546,
,3,マコガレイ・マガレイ,30,430,430,430,
,5,ババガレイ（ナメタガレイ）,38,"8,400",528,"1,185",
,,まつかわ,,,,,
,,マダラ,,,,,
,,スケトウダラ,,,,,
,3,アイナメ,17,"1,020",796,600,
,2,アンコウ類,13,250,216,131,
,1,クロソイ,4,"1,390",348,"1,390",
,,タコ類,,,,,
,,アナゴ類,,,,,
小延縄（新）,,マコガレイ・マガレイ,,,,,
,2,ババガレイ（ナメタガレイ）,7,"2,740",543,"1,060",
,2,その他のカレイ類,5,"1,690",538,"1,000",
,,マダラ,,,,,
,,スケトウダラ,,,,,
,4,エゾイソアイナメ（ドンコ）,72,"2,000",235,600,
,3,アイナメ,25,911,845,711,
,,クロソイ,,,,,
,,その他のソイ類,,,,,
かご,25,タコ類,"2,083",502,452,209,
,,アナゴ類,,,,,
たら延縄,,マダラ,,,,,
,,スケトウダラ,,,,,
沖合底びき網,,マダラ,,,,,
小型機船底びき網,,スケトウダラ,,,,,
,,スルメイカ,,,,,
,,ヤリイカ,,,,,
,,タコ類,,,,,
,,ババガレイ（ナメタガレイ）,,,,,
,,その他のカレイ類,,,,,
,,キチジ,,,,,
その他,,ヒラメ,,,,,
,,マコガレイ・マガレイ,,,,,
,,アイナメ,,,,,
,,マダラ,,,,,
,,タコ類,,,,,
,,アナゴ類,,,,,
