2020年,釜石湾(3m)
10月1日,20.74
10月2日,20.58
10月3日,20.57
10月4日,20.46
10月5日,20.26
10月6日,19.93
10月7日,19.82
10月8日,19.66
10月9日,19.48
10月10日,19.32
10月11日,18.75
10月12日,19.01
10月13日,19.02
10月14日,19.06
10月15日,19.13
10月16日,19.21
10月17日,19.29
10月18日,19.39
10月19日,19.47
10月20日,19.30
10月21日,19.48
10月22日,19.47
10月23日,19.46
10月24日,19.49
10月25日,19.37
10月26日,19.27
10月27日,19.17
10月28日,19.06
10月29日,18.66
10月30日,18.10
10月31日,18.03
